user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,clusters,explaned
67,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
75,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
78,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
167,0,0,1,1,1,0,0,1,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
41,0,0,0,0,1,0,0,0,1,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
65,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
58,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
29,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
70,0,0,0,0,1,0,0,0,0,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
193,0,0,0,0,1,0,0,0,0,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
28,0,0,0,0,1,0,0,0,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
46,0,0,0,0,1,1,0,0,0,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
262,1,0,0,0,1,1,1,1,1,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
32,0,1,0,0,1,0,0,0,0,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
62,0,0,0,0,1,0,0,1,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
68,0,1,0,0,1,1,1,1,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
219,0,0,0,0,1,0,0,1,0,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
31,0,0,0,0,1,0,0,0,1,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
43,0,0,0,0,1,0,0,0,1,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
212,0,1,0,0,1,1,1,0,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
116,0,0,0,1,1,1,1,0,1,0,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
56,0,0,0,0,1,0,0,0,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
208,0,0,0,0,1,0,0,0,1,1,0,คนกลุ่มนี้เคยค้นหาอาหารประเภทปิ้งย่างและอาหารไทย
186,0,1,0,0,0,0,0,0,1,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
76,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
231,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
112,0,0,0,0,0,1,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
261,0,1,0,0,0,0,0,0,1,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
73,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
104,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
115,0,1,0,0,0,0,0,0,1,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
19,1,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
98,0,1,0,0,0,1,0,0,0,1,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
142,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
196,1,0,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
39,0,1,0,1,0,1,0,0,0,1,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
91,0,1,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
251,1,0,0,0,0,0,0,0,0,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
140,0,1,0,0,0,0,0,0,1,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
105,1,1,0,0,0,1,0,0,1,0,1,เคยค้นหาอาหารประเภทที่มีบริการส่ง
107,0,0,0,0,0,1,0,0,1,1,2,"คนกลุ่มนี้เคยค้นหาอาหารประเภทสเต็ก,อาหารไทย และเครื่องดื่ม"
18,0,0,1,1,1,1,0,0,1,1,2,"คนกลุ่มนี้เคยค้นหาอาหารประเภทสเต็ก,อาหารไทย และเครื่องดื่ม"
255,0,0,1,0,0,1,0,1,1,1,2,"คนกลุ่มนี้เคยค้นหาอาหารประเภทสเต็ก,อาหารไทย และเครื่องดื่ม"
213,0,0,0,1,0,1,0,0,1,1,2,"คนกลุ่มนี้เคยค้นหาอาหารประเภทสเต็ก,อาหารไทย และเครื่องดื่ม"
